iter	Passed	Remaining
0	0	780
1	1	649
2	1	601
3	2	575
4	2	560
5	3	568
6	3	562
7	4	552
8	4	544
9	5	538
10	5	532
11	6	529
12	6	526
13	7	522
14	7	519
15	8	516
16	8	513
17	9	512
18	9	513
19	10	511
20	10	509
21	11	507
22	11	505
23	12	504
24	12	505
25	13	510
26	14	507
27	14	505
28	15	502
29	15	500
30	15	498
31	16	495
32	16	493
33	17	491
34	17	489
35	18	487
36	18	486
37	19	484
38	19	483
39	20	481
40	20	479
41	21	479
42	21	478
43	21	476
44	22	476
45	23	477
46	23	476
47	23	475
48	24	474
49	24	472
50	25	471
51	25	470
52	26	468
53	26	467
54	27	466
55	27	466
56	28	465
57	28	464
58	29	463
59	29	462
60	29	461
61	30	460
62	30	459
63	31	458
64	31	457
65	32	456
66	32	459
67	33	458
68	33	458
69	34	457
70	34	456
71	35	455
72	35	454
73	36	453
74	36	452
75	37	451
76	37	450
77	38	449
78	38	448
79	38	447
80	39	446
81	39	446
82	40	443
83	40	442
84	41	441
85	41	442
86	42	442
87	42	442
88	43	441
89	43	441
90	44	440
91	44	440
92	45	439
93	45	439
94	46	438
95	46	437
96	46	436
97	47	435
98	47	434
99	48	434
100	48	433
101	49	432
102	49	432
103	50	431
104	50	430
105	50	430
106	51	430
107	52	429
108	52	429
109	52	428
110	53	427
111	53	427
112	54	426
113	54	425
114	55	424
115	55	424
116	56	422
117	56	422
118	56	421
119	57	421
120	57	420
121	58	419
122	58	419
123	59	418
124	59	417
125	60	417
126	60	416
127	61	415
128	61	416
129	62	415
130	62	415
131	63	414
132	63	414
133	63	413
134	64	412
135	64	412
136	65	411
137	65	410
138	66	410
139	66	409
140	67	409
141	67	407
142	67	407
143	68	406
144	68	405
145	69	405
146	69	404
147	70	403
148	70	403
149	71	404
150	71	404
151	72	404
152	72	403
153	73	402
154	73	402
155	74	401
156	74	401
157	75	400
158	75	399
159	76	399
160	76	397
161	76	397
162	77	396
163	77	396
164	78	395
165	78	395
166	79	394
167	79	393
168	79	393
169	80	393
170	81	392
171	81	392
172	81	391
173	82	391
174	82	390
175	83	390
176	83	389
177	84	389
178	84	388
179	85	388
180	85	388
181	86	387
182	86	387
183	87	386
184	87	385
185	88	385
186	88	384
187	88	384
188	89	383
189	89	383
190	90	382
191	91	383
192	92	384
193	92	384
194	93	384
195	93	384
196	94	383
197	94	383
198	95	382
199	95	382
200	95	381
201	96	380
202	96	380
203	97	379
204	97	379
205	98	378
206	98	378
207	99	377
208	99	377
209	100	377
210	100	377
211	101	376
212	101	376
213	102	375
214	102	375
215	103	374
216	103	374
217	104	373
218	104	372
219	104	372
220	105	371
221	105	371
222	106	370
223	106	369
224	107	369
225	107	369
226	108	368
227	108	368
228	109	370
229	110	369
230	110	369
231	111	369
232	111	368
233	112	368
234	112	367
235	113	367
236	113	366
237	114	366
238	114	365
239	115	364
240	115	364
241	116	363
242	116	363
243	117	362
244	117	362
245	117	361
246	118	360
247	119	361
248	120	362
249	120	362
250	121	362
251	121	362
252	122	361
253	123	361
254	123	360
255	123	360
256	124	359
257	124	359
258	125	358
259	125	358
260	126	357
261	126	357
262	127	356
263	127	356
264	128	355
265	129	355
266	129	355
267	130	355
268	130	355
269	131	354
270	131	354
271	132	353
272	132	352
273	133	352
274	133	351
275	133	351
276	134	350
277	134	350
278	135	349
279	135	349
280	136	348
281	136	347
282	137	347
283	137	346
284	138	346
285	138	346
286	139	345
287	139	345
288	140	344
289	140	344
290	140	343
291	141	342
292	141	342
293	142	341
294	142	341
295	143	340
296	143	340
297	144	339
298	144	339
299	145	338
300	145	338
301	146	337
302	146	336
303	146	336
304	147	335
305	147	335
306	148	335
307	148	334
308	149	334
309	149	333
310	150	332
311	150	332
312	151	331
313	151	331
314	152	330
315	152	330
316	153	329
317	153	329
318	153	328
319	154	328
320	154	327
321	155	326
322	155	326
323	156	325
324	156	325
325	157	324
326	157	324
327	158	324
328	158	323
329	159	322
330	159	322
331	159	321
332	160	321
333	160	320
334	161	320
335	161	319
336	162	319
337	162	318
338	163	318
339	163	317
340	164	317
341	164	316
342	164	315
343	165	315
344	165	314
345	166	314
346	166	313
347	167	313
348	167	313
349	168	312
350	168	311
351	169	311
352	169	310
353	170	310
354	170	309
355	170	309
356	171	308
357	171	308
358	172	307
359	172	307
360	173	306
361	173	306
362	174	305
363	174	305
364	175	304
365	175	303
366	175	303
367	176	302
368	176	302
369	177	302
370	177	301
371	178	301
372	178	300
373	179	300
374	179	299
375	180	299
376	180	298
377	181	298
378	181	297
379	181	296
380	182	296
381	182	295
382	183	295
383	183	294
384	184	294
385	184	293
386	185	293
387	185	292
388	186	292
389	186	291
390	187	291
391	187	290
392	187	290
393	188	289
394	188	289
395	189	288
396	189	288
397	190	287
398	190	287
399	191	286
400	191	286
401	192	285
402	192	285
403	192	284
404	193	284
405	194	283
406	194	283
407	194	282
408	195	282
409	195	281
410	196	281
411	196	280
412	197	280
413	197	279
414	198	279
415	198	278
416	199	278
417	199	277
418	199	277
419	200	276
420	200	276
421	201	275
422	201	275
423	202	274
424	202	274
425	203	273
426	203	273
427	203	272
428	204	272
429	204	271
430	205	271
431	205	270
432	206	270
433	206	269
434	207	269
435	207	268
436	208	268
437	208	267
438	209	267
439	209	266
440	210	266
441	210	265
442	211	265
443	211	264
444	211	264
445	212	263
446	212	263
447	213	262
448	213	262
449	214	261
450	214	261
451	215	260
452	215	260
453	216	259
454	216	259
455	217	259
456	217	258
457	218	258
458	218	257
459	218	257
460	219	256
461	219	256
462	220	255
463	220	255
464	221	254
465	221	254
466	222	253
467	222	253
468	223	252
469	223	252
470	224	251
471	224	251
472	224	250
473	225	250
474	225	249
475	226	249
476	226	248
477	227	248
478	227	247
479	228	247
480	228	247
481	229	246
482	229	246
483	230	245
484	230	245
485	231	244
486	231	244
487	232	243
488	232	243
489	233	242
490	233	242
491	233	241
492	234	241
493	234	240
494	235	240
495	235	239
496	236	239
497	236	238
498	237	238
499	237	237
500	238	237
501	238	236
502	239	236
503	239	235
